CR_TITLE,CR_URL,CR_MATERIAL_TYPE,CR_Media_Formats,CR_ABSTRACT,CR_LANGUAGE,CR_COU_TITLE,CR_PRIMARY_USER,CR_SUBJECT,CR_KEYWORDS,CR_AUTHOR_NAME,CR_PROVIDER,CR_PROVIDER_SET,CR_COU_URL,CR_COU_COPYRIGHT_HOLDER,CR_EDUCATIONAL_USE,CR_ACCESSIBILITY
"Literature, Ethics and Authority",https://live-qa.ocw.mit.edu/courses/15-269b-literature-ethics-and-authority-fall-2002,Full Course,Text/HTML,"Our subject is the ethics of leadership, an examination of the principles appealed to by executive authority when questions arise about its sources and its legitimacy. Most treatments of this subject resort to case-studies in order to illustrate the application of ethical principles to business situations, but our primary emphasis will be upon classic works of imaginative literature, which convey more directly than case-studies the ethical pressures of decision-making. Readings will include works by Shakespeare, Sophocles, Shaw, E.M. Forster, Joseph Conrad, George Orwell, Fyodor Dostoyevsky, and Henrik Ibsen, among others. Topics to be discussed include the sources of authority, the management of consensus, the ideal of vocation, the ethics of deception, the morality of expediency, the requirements of hierarchy, the virtues and vices of loyalty, the relevance of ethical principles in extreme situations.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Management|Literature|Philosophy|Anthropology|Business and Communication|Social Science,Leadership|Social Science|Humanities|Business|Literature|Philosophy|Ethics|Anthropology|Social Anthropology,"Kibel, Alvin",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Geographic Information System (GIS) Tutorial,https://live-qa.ocw.mit.edu/courses/res-str-001-geographic-information-system-gis-tutorial-january-iap-2022,Full Course,Text/HTML,"Learn how to read and interpret maps and data and use basic cartography principles to create maps that can be used in reports and presentations. After learning basic concepts, attendees will work through an exercise using ArcGIS Pro or QGIS.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Physical Geography,Geography|Social Science," , MIT Libraries GIS Services Group",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Real Analysis,https://live-qa.ocw.mit.edu/courses/18-100a-real-analysis-fall-2020,Full Course,Text/HTML,"This course covers the fundamentals of mathematical analysis: convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, and the interchange of limit operations. It shows the utility of abstract concepts through a study of real numbers, and teaches an understanding and construction of proofs.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Calculus|Mathematics,Mathematics|Calculus|Mathematical Analysis,"Rodriguez, Casey",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Special Seminar in Communications: Leadership and Personal Effectiveness Coaching,https://live-qa.ocw.mit.edu/courses/15-277-special-seminar-in-communications-leadership-and-personal-effectiveness-coaching-fall-2008,Full Course,Text/HTML,This course builds on the work done concurrently in 15.280 Communication for Managers and 15.311 Organizational Processes in the first semester of the MBA program. 15.280 is offered for 6 units and 15.277 provides an additional 3 units for a total of 9 units in Managerial Communication. 15.277 acts as a lab component to 15.280 and provides students additional opportunities to hone their communication skills through a variety of in-class exercises. Emphasis is on both individual and team communication.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Social Science|Management|Communication,Leadership|Social Science|Business|Communication|Management,"Kelly, Christine",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Dynamics and Control II,https://live-qa.ocw.mit.edu/courses/2-004-dynamics-and-control-ii-spring-2008,Full Course,Text/HTML,"Upon successful completion of this course, students will be able to:

Create lumped parameter models (expressed as ODEs) of simple dynamic systems in the electrical and mechanical energy domains
Make quantitative estimates of model parameters from experimental measurements
Obtain the time-domain response of linear systems to initial conditions and/or common forcing functions (specifically; impulse, step and ramp input) by both analytical and computational methods
Obtain the frequency-domain response of linear systems to sinusoidal inputs
Compensate the transient response of dynamic systems using feedback techniques
Design, implement and test an active control system to achieve a desired performance measure

Mastery of these topics will be assessed via homework, quizzes/exams, and lab assignments.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering,Dynamics and Control|Engineering|Mathematics|Mechanical Engineering|Applied Mathematics,"Rowell, Derek",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Moral Problems and the Good Life,https://live-qa.ocw.mit.edu/courses/24-02-moral-problems-and-the-good-life-fall-2008,Full Course,Text/HTML,"This course will focus on issues that arise in contemporary public debate concerning matters of social justice. Topics will likely include: euthanasia, gay marriage, racism and racial profiling, free speech, hunger and global inequality. Students will be exposed to multiple points of view on the topics and will be given guidance in analyzing the moral frameworks informing opposing positions. The goal will be to provide the basis for respectful and informed discussion of matters of common moral concern.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Arts and Humanities|Sociology|Philosophy,Social Science|Humanities|Philosophy|Ethics|Social Justice|Sociology,"Haslanger, Sally",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Nationalism, Internationalism, and Globalism in Modern Art",https://live-qa.ocw.mit.edu/courses/4-671-nationalism-internationalism-and-globalism-in-modern-art-spring-2016,Full Course,Text/HTML,"This course studies how international modernism interacted with the concept of ""nation"" and how contemporary discourses concerning globalism changes that dynamic. This course also looks at how art uses and critiques globalization on various levels.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Architecture and Design|History|Art History|World History,Art History|Humanities|Architecture|Comparative History|History|European History|Fine Arts|World History,"Jones, Caroline",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Concept-Centered Teaching,https://live-qa.ocw.mit.edu/courses/7-391-concept-centered-teaching-fall-2005,Full Course,Text/HTML,"Do you like teaching, but find yourself frustrated by how little students seem to learn? Would you like to try teaching, but are nervous about whether you will be any good at it? Are you interested in new research on science education? Research in science education shows that the greatest obstacle to student learning is the failure to identify and confront the misconceptions with which the students enter the class or those that they acquire during their studies. This weekly seminar course focuses on developing the participants' ability to uncover and confront student misconceptions and to foster student understanding and retention of key concepts. Participants read primary literature on science education, uncover basic concepts often overlooked when teaching biology, and lead a small weekly discussion session for students currently enrolled in introductory biology classes.
The instructor for this course, Dr. Julia Khodor, is a member of the HHMI Education Group.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Education|Physical Science|Biology,Curriculum and Teaching|Science|Biology|Teaching and Education,"Khodor, Julia",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Reading Fiction,https://live-qa.ocw.mit.edu/courses/21l-003-2-reading-fiction-spring-2007,Full Course,Text/HTML,"Reading Fiction is designed to sharpen your skills as a critical reader. As we explore both short stories and novels focusing on the theme of ""the city in literature,"" we will learn about the various elements that shape the way we read texts - structure, narrative voice, character development, novelistic experimentation, historical and political contexts and reader response.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Reading Literature,Fiction|Literature|Criticism|Humanities,"Braithwaite, Alisa",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Syntactic Models,https://live-qa.ocw.mit.edu/courses/24-960-syntactic-models-spring-2006,Full Course,Text/HTML,"This course presents a comparison of different proposed architectures for the syntax module of grammar. The subject traces several themes across a wide variety of approaches, with emphasis on testable differences among models. Models discussed include ancient and medieval proposals, structuralism, early generative grammar, generative semantics, government-binding theory/minimalism, LFG, HPSG, TAG, functionalist perspectives and others.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Linguistics,Linguistics|Syntax|Humanities,"Pesetsky, David",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Games and Culture,https://live-qa.ocw.mit.edu/courses/cms-616j-games-and-culture-fall-2014,Full Course,Text/HTML,"This course examines the social, cultural, economic, and political aspects of digital games. Topics include the socio-technical aspects of digital gaming, embodiment and space, communities, spectatorship and performance, gender, race, sexuality, e-sports and sports games, and the politics and economics of production processes, including co-creation and intellectual property.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Women’s Studies|Graphic Design|Social Science|Graphic Arts|Sociology,Social Science|Society|Women's Studies|Game Design|Media Studies|Gender Studies|Digital Media|Sociology|Fine Arts,"Taylor, T. L.",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Photon and Neutron Scattering Spectroscopy and Its Applications in Condensed Matter,https://live-qa.ocw.mit.edu/courses/22-903-photon-and-neutron-scattering-spectroscopy-and-its-applications-in-condensed-matter-spring-2005,Full Course,Text/HTML,The purpose of this course is to discuss modern techniques of generation of x-ray photons and neutrons and then follow with selected applications of newly developed photon and neutron scattering spectroscopic techniques to investigations of properties of condensed matter which are of interest to nuclear engineers.,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Engineering|Physics|Health, Medicine and Nursing|Environmental Science|Physical Science",Science|Condensed Matter Physics|Nuclear Physics|Health and Medicine|Spectroscopy|Physics|Engineering|Nuclear Engineering,"Chen, Sow-Hsin",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Great Ideas in Theoretical Computer Science,https://live-qa.ocw.mit.edu/courses/6-080-great-ideas-in-theoretical-computer-science-spring-2008,Full Course,Text/HTML,"This course provides a challenging introduction to some of the central ideas of theoretical computer science. It attempts to present a vision of ""computer science beyond computers"": that is, CS as a set of mathematical tools for understanding complex systems such as universes and minds. Beginning in antiquity—with Euclid's algorithm and other ancient examples of computational thinking—the course will progress rapidly through propositional logic, Turing machines and computability, finite automata, Gödel's theorems, efficient algorithms and reducibility, NP-completeness, the P versus NP problem, decision trees and other concrete computational models, the power of randomness, cryptography and one-way functions, computational theories of learning, interactive proofs, and quantum computing and the physical limits of computation. Class participation is essential, as the class will include discussion and debate about the implications of many of these ideas.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering|Computer Science,Computer Science|Theory of Computation|Computation|Engineering|Mathematics|Applied Mathematics,"Aaronson, Scott",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Gender Issues in Academics and Academia,https://live-qa.ocw.mit.edu/courses/es-242-gender-issues-in-academics-and-academia-spring-2004,Full Course,Text/HTML,"Does it matter in education whether or not you've got a Y chromosome? You bet it does. In this discussion-based seminar, we will explore why males vastly outrank females in math and science and career advancements (particularly in academia), and why girls get better grades and go to college more often than boys. Do the sexes have different learning styles? Are women denied advanced opportunities in academia and the workforce? How do family life and family decisions affect careers for both men and women?",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Women’s Studies,Gender Studies|Society|Women's Studies,"Jacobs, Kayla|Ruhlen, Laurel|Sweet, Holly",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Bioinformatics and Proteomics,https://live-qa.ocw.mit.edu/courses/6-092-bioinformatics-and-proteomics-january-iap-2005,Full Course,Text/HTML,"This interdisciplinary course provides a hands-on approach to students in the topics of bioinformatics and proteomics. Lectures and labs cover sequence analysis, microarray expression analysis, Bayesian methods, control theory, scale-free networks, and biotechnology applications. Designed for those with a computational and/or engineering background, it will include current real-world examples, actual implementations, and engineering design issues. Where applicable, engineering issues from signal processing, network theory, machine learning, robotics and other domains will be expounded upon.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Biology|Physical Science|Engineering|Computer Science,Computational Biology|Science|Biology|Data Mining|Computer Science|Biological Engineering|Engineering|Proteomics,"Alterovitz, Gil|Kellis, Manolis|Ramoni, Marco",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Prototyping Avionics,https://live-qa.ocw.mit.edu/courses/16-682-prototyping-avionics-spring-2006,Full Course,Text/HTML,"In the past building prototypes of electronic components for new projects/products was limited to using protoboards and wirewrap. Manufacturing a printed-circuit-board was limited to final production, where mistakes in the implementation meant physically cutting traces on the board and adding wire jumpers - the final products would have these fixes on them! Today that is no longer the case, while you will still cut traces and use jumpers when debugging a board, manufacturing a new final version without the errors is a simple and relatively inexpensive task. For that matter, manufacturing a prototype printed circuit board which you know is likely to have errors but which will get the design substantially closer to the final product than a protoboard setup is not only possible, but desirable. In this class, you'll learn to design, build, and debug printed-circuit-boards.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Engineering,Avionics|Aerospace Engineering|Engineering|Electrical Engineering,"Saenz-Otero, Alvar",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
How to Stage a Revolution,https://live-qa.ocw.mit.edu/courses/21h-001-how-to-stage-a-revolution-fall-2013,Full Course,Text/HTML,"This course explores fundamental questions about the causes and nature of revolutions by looking at how people overthrow their rulers and establish new governments. Considers a set of major political transformations throughout the world and across centuries to understand the meaning of revolution and evaluate its impact. Examines how revolutionaries have attempted to establish their ideals and realize their goals. Asks whether radical upheavals require bloodshed, violence, or even terror. Seeks to explain why some revolutions succeed and others fail. Materials include the writings of revolutionaries, declarations and constitutions, music, films, art, novels, memoirs, and newspapers.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|World History|U.S. History|History,Humanities|History|Middle Eastern History|Modern History|American History,"Ghachem, Malick|Ravel, Jeffrey|Wilder, Craig",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
The Society of Mind,https://live-qa.ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011,Full Course,Text/HTML,"This course is an introduction to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Philosophy|Arts and Humanities|Engineering|Computer Science,Humanities|Computer Science|Philosophy|Artificial Intelligence|Engineering,"Minsky, Marvin",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual|Auditory|Caption|Transcript
The Lexicon and Its Features,https://live-qa.ocw.mit.edu/courses/24-941j-the-lexicon-and-its-features-spring-2007,Full Course,Text/HTML,"This course provides an overview of the distinctive features which distinguish sound categories of languages of the world. Theories which relate these categories to their acoustic and articulatory correlates, both universally and in particular languages, are covered. Models of word recognition by listeners, features, and phonological structure are also discussed. In addition, the course offers a variety of perspectives on these issues, drawn from Electrical Engineering, Linguistics and Cognitive Science.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Physical Science|Life Science|Linguistics,Science|Humanities|Linguistics|Phonology|Cognitive Science,"Flemming, Edward|Gow, David|Shattuck-Hufnagel, Stefanie|Steriade, Donca|Stevens, Kenneth",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Systems Optimization,https://live-qa.ocw.mit.edu/courses/15-057-systems-optimization-spring-2003,Full Course,Text/HTML,"Managers and engineers are constantly attempting to optimize, particularly in the design and operation of complex systems. This course is an application-oriented introduction to (systems) optimization. It seeks to:

Motivate the use of optimization models to support managers and engineers in a wide variety of decision making situations;
Show how several application domains (industries) use optimization;
Introduce optimization modeling and solution techniques (including linear, non-linear, integer, and network optimization, and heuristic methods);
Provide tools for interpreting and analyzing model-based solutions (sensitivity and post-optimality analysis, bounding techniques); and
Develop the skills required to identify the opportunity and manage the implementation of an optimization-based decision support tool.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Management|Mathematics|Engineering,Systems Engineering|Supply Chain Management|Business|Engineering|Systems Optimization|Operations Management|Mathematics|Applied Mathematics,"Vate, John",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Marathon Moral Reasoning Laboratory,https://live-qa.ocw.mit.edu/courses/9-93-marathon-moral-reasoning-laboratory-january-iap-2007,Full Course,Text/HTML,"This seminar focuses on the cognitive science of moral reasoning. Philosophers debate how we decide which moral actions are permissible. Is it permissible to take one human life in order to save others? We have powerful and surprisingly rich and subtle intuitions to such questions.
In this class, you will learn how intuitions can be studied using formal analytical paradigms and behavioral experiments. Thursday evening, meet to learn about recent advances in theories of moral reasoning. Overnight, formulate a hypothesis about the structure of moral reasoning and design a questionnaire-based experiment to test this. Friday, present and select 1-2 proposals and collect data; we will then reconvene to analyze and discuss results and implications for the structure of the moral mind.
This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Life Science|Philosophy|Psychology|Social Science|Physical Science,Science|Social Science|Humanities|Philosophy|Psychology|Cognitive Science|Ethics,"Mikhail, John|Saxe, Rebecca|Tenenbaum, Joshua",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
